galaxy,zone,rotmod_points,Rlast_kpc,winning_comparator,winning_comparator_family,winning_aic,params_json,rss
CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.9105344300797,"{""coef"": [-0.08709885666600417, 2.001756796263452, -19.79103060375061, 48.68963728068268, -47.48251834101263, 16.99773290759565], ""degree"": 5}",0.0017531888926713736
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.2933528785847,"{""coef"": [0.02494713578276848, -1.2654659837102558, 7.258303995888417, -8.706039973309245, 5.813976282469829, -2.293252970055908], ""degree"": 5}",0.0013168137029546969
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.47510672125889,"{""coef"": [-0.06422586315913396, 3.2491202454864347, -27.00993233391626, 90.98187533469518, -115.61254805729155, 49.10727536477571], ""degree"": 5}",0.008641638963552372
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-38.53976380152537,"{""coef"": [0.03536064816684577, -1.336747477639933, 14.58359010041988, -31.31639521195183, 29.43111997225403, -10.630298289484665], ""degree"": 5}",0.00044485075023355735
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-75.47539740654729,"{""amplitude"": 0.7534963559647571, ""n"": 3.0, ""scale"": 0.5}",0.007594405348391407
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-3.721092733536535,"{""coef"": [0.03146620978081077, 0.24437591693415028, -6.51463372984064, 31.680764590190233, -41.752728619161005, 16.95844997349331], ""degree"": 5}",0.007285019010048563
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-12.435396369633661,"{""coef"": [-0.09811577874180628, 0.18341861868954557, 10.743812897548532, -28.273765910892, 27.076522285248686, -8.851015449648003], ""degree"": 5}",0.000942996910452712
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.917161425109907,"{""coef"": [0.10531957936992468, -3.3757491281821492, 22.62682169369515, -48.943254712184014, 44.972835490755266, -14.921567808201397], ""degree"": 5}",0.006358849714264219
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.29998557845091,"{""amplitude"": 0.6941510457967993, ""scale"": 0.4}",0.010533557780264855
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.479268004049004,"{""coef"": [-0.14289610425120916, 1.65549439347649, 1.710439685492767, -18.368902749832923, 30.05204964020489, -14.356898799906427], ""degree"": 5}",0.04461248147561502
F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.57149429410031,"{""amplitude"": 0.7710956172933202, ""scale"": 0.15}",0.1424165415900837
F563-V2,NUISANCE_SENSITIVE_ZONE,10,10.47,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-33.597574566790456,"{""amplitude"": 0.7917069528204832, ""n"": 3.0, ""scale"": 0.2}",0.003929870989549871
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,13.23,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-57.77328047083573,"{""coef"": [0.0343565943675364, -1.5857059882555038, 23.956666871218086, -65.53778973137307, 70.61071230324193, -26.714533479714465], ""degree"": 5}",0.00039015831766533825
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.98,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-53.01285853874441,"{""coef"": [0.04894218005373059, -2.3505783317980407, 28.40489248264624, -81.33997597669824, 91.83802257327712, -35.88030279161047], ""degree"": 5}",0.0059794315254509504
